text,ground_truth_labels
my 14 month old baby raat me bhook ki wajah we uth jati h       fir soti b nahi h     please suggest mai usko dinner me kta du ki uska pet raat bhar bhara rahe aur she dont wake up in middle of the night     mai use dinner me milk rice deti hu   please suggest,Que
hi my baby is going to be 2 yrs nw but he is 2 weak  have weight of 11  5 kg   so please suggest what shd i do to increase his weight with any special food receipes   thanks mom arti,Que
meri beti 1  5 year ki hai   uska waight nahi badh raha hai maine bahut kuch try kiya please suggest me kya karu  ,Que
please mummies help me   mei apni 8 months ki beti ko le kar bohot chintit hoo   wo bm ke elaba or kuch nehi khati he    jo vi khati he turant ultti kar deti he   sobse bari baat he   dr   iron or antialargi ke liye 2 liquid medicine diye hei    mei use vi pila nehi sektti   wo sob ulti kar deti he   please mummies app sob kehiye ab me kya karu   keise pilau   please suggest me          ,Que
hi moms  can i give dry fruit mix powder to my 10 month baby      if yes can you please suggest how to prepare it        my baby is less weight      by birth he is 2  7 now 7  2 is it ok      ,Que
hello freinds     mi baby boy is 7month old and he is suffering from severe cold and running nose please suggest some remedies,Que
hii guys   my baby is of 8 months   she is not taking any fruits   how can i give her fruits           please suggest me,Que
please suggest best games to increase height of 5 yr old,Que
hi mommies      good morning     mera second pregnancy ka abhi 8 months 1 week chal raha hain      first pregnancy ke time pe maine mere bete ko sirf 3 months ke liye breastfeeding karwaya      dudh niklta nahin tha        kom tha      phir doctor ko puchke formula milk start kiya       electronic pump bhi use kiya        koi fayda nahin tha        abhi second pregnancy hai        toh mein chahti hun ki breastfeeding karwaon at least 1 year         please suggest me some tips          kaise me apna breast milk jyada kar sakti hu abhi se         thank you,Que
i dont know what will your reactio to this question   bt i want to ask this    i am maharashtrian    i am fghting with my mil because she is forcing me by telling that should give bath to my three months old daughter atleast for one year on his birth day that is saturday    she is telling every i should no give bath   this is ridiculos to me as this is a pratha in marathi    this topic is gving me stress also    i know n respect the rituals so i do this for one month    but i not going to do this for one year   please suggest me i am dng wrong or right   b doing this can my baby have any effect on her    tia,Que
hello mommies  hope you all have a good day ahead          along with breast milk i am also giving my son formula milk  nan pro1   but from last two days he is not taking formula milk only taking breast milk as my milk is not sufficient for him so he keep on eating his hands  do i need to change fm  please suggest i am so worried,Que
hi moms my baby s 21 months   she have fever 2days 2 times i went to hospital but also temperature not decreasing main thing she not taking any food oly water she intake       please suggest me,Que
please suggest me what is this on my babys face and remedy for that   already visited to dr   yesterday   but no improvement at all,Que
hello everyone  my problem is that my son is 1 year 3 month   but he cant take solid food like dal chawal  dalia etc    or not having appetite also  please suggest me what ill do in this matter  ,Que
please suggest home remedy for loose motions for two year old baby,Que
but how to loose the weight     before pregnancy my weight was49 kg and now after delivery it 64kg please suggest me how to loss the weight,NotQue
hello everyone               meri daughter e saal ki hone wali hai         or uska weight gain bhi properly nhi ho rha hai           or vo thik se kuch khati bhi nhi             so please suggest me what kind of food i give to my daughter,Que
my 2  5 yrs baby having keede in his stomach please suggest any home remedies,Que
hii moms  please suggest a good hair oil for my 17 mnths baby   her hair is dry from bottom  ,Que
hi mommies   my baby boy is 21 months old and he has a itching allergy     please suggest how to get rid of this problem   and what could be the reasons behind this    ,Que
hii friends mere baby ko rashes ho rahe face per kya use karu or skin bhi dry hai please suggest me  ,Que
did anyone tired using skin tightening gel for tummy  completed 4 month but not able to reduce my tummy     please suggest some home remedies as well    ,Que
hi   my baby is not gaining 200 gm weight per week z she was 3 on the delivery day and now she is 3  90    she will complete 2 months on coming 18th    she gets up almost for every 2 hr and i feed     and night she sleeps at a stretch from 2 to 6   i feed after on demand too    please suggest to increase weight,Que
hello friends  mai abroad me hu n yaha pe mai beti ko novalac formula milk deti hu  mai india vacation k liye aaneywale hu so ky ye brand ka milk india me mil jaiga  if nahi so konsa formula milk accha hai   meri beti 5montgs ki hai  please suggest  ,Que
my 5 month old baby girls weight is now 6 kg   250 gram     is it normal weight in this time    she does not eat properly     what can i do please suggest me     beside breastfeeding i also give her lactogen     she does not want to eat lactogen    ,Que
hii moms mera beta 1 saal ka hai or uska wait 7  17 hai kya ye normal wait hai please suggest me iska birth wait 1  4 tha pre methurre baby hai  hi mom my son is 1 years old and his wait is 7  17   is this normal wait please in the suggest   it was 1  4 years old      rate this translation,Que
hello moms     mera baby 14 month ka h par khane ko interested nahi rhta     please suggest    ,Que
my kid is 3  5 yrs old     she is having habit of sucking her hands   always she is having right in her mouth   how to avoid this   i have done neem paste   neem oil   kariyapalam etc   she is not avoid   for this reason she is not eating properly           please suggest to avoid this habit     ,Que
hello mummies   kya mei apni 11 months baby ko tama dhatu se banay hui lota ki pani pila sektihoo   please suggest me            hello friends   what i have made my 11 months baby from the come metal   please in suggest              rate this translation,Que
