text,pred_label
hello ladies i have a very big problem meri marriage ko 2  6 year hue h mere mmy papa ne meri inlaw family se kaha tha ki ladki buffalo ka kam ni kregi ab mere sas sasur mujhse ladte h bht or force krte h buffalo k kam k liye to pls ye btao ki m kya kru pls pls help me,1
post delivery my tummy is come out           remedy for reducing it   belt for tummy or any other remedy           plz suggest frnds,1
hi all    my 8  5 month girl sits properly without support      is it good to put her in walker         what shud b the next exercises for baby except massage with oil etc        ,0
sweet potato rasipi ripet please,0
try homemade food     some babies do not like cerelac  ,0
how many mothers are here whose baby is on formula milk from day one and they are giving water from which months  ,0
child may nt be able to swallow,0
hi mommies        how many of u have started giving banana to ur baby as most of the moms had stopped feeding due to nipah virus        ,1
pehle bm churwaye         khud khane lagega kab kuch aur nai milega       trust me,0
mere teen saal k bete ko constipation bahut jyada ho jata h kya karu   ,0
hi moms   you can see food chart for 6 months baby here   https  www  babydestination  comfoodchart6monthsbaby,1
kya teething me loose motion hona compulsory h,0
hi   i am a lactation consultant working with philips avent   my answer for your question is   your 4 months old baby should be breastfed as per her demands whenever hungry until 6 months of baby age only breastmilk must be offered even in the night   if babys sleeping in the night then their is no need to wake her and feed your baby   a 4 months old baby can be left for complete demand feeding   ,1
varshali divyesh barve meri baby ka 8th month chal raha or wo b brestfeeding karti hai   me b pani isi me dal k pilati is ko    lekin kabi market wagaira jana par jae to fm pilana par jata to us k liye acha hai is ki shape breast ki tarha hai nipple b soft hai or chota as compare to other feeder,0
hii       mommies      9th month mai mmr vaccine    padti h      kya ye govt   mai available h     nd cost kya h    ,1
kids r always smart   v should only becareful when v handle kids    see here one intelligent kid what doing      hahaha    ,0
yes   it will take 3days atleast for the baby to get cured   my baby had the same problem wn he was jus 6mnths  ,0
hello mommies  plz suggest a home remedy for runny nose  my daughter is 2yr old  ,1
give boiled rice and sabudana only     and have patience     it last more than a week  ,0
feed thoda kam karo baby ko bhuk lagne do,0
it should not b givn in such small age   but later it is no problem  ,0
normal   but dont stop taking good diet  otherwise it may effect on baby  that is common problem some will face 23months n some will face till delivery  ask ur doctor suggest some tablets  ,0
can i give curd twice a day to my 11 month old baby,1
please carry medicine also  ,0
hi every1    dis is smthin urgent    my baby has running nose n dry cough n 2mrw ders vaccination    can ny1 suggest home remedies for 4months old at d earliest    tia,1
ye fm  kesa hai kisi be use kiya hai      apne baby ke kiya        these fm   how is it   i have done it       your baby did it          rate this translation,1
do u find any ve changes after using medicine  ,0
tabhi to advise do koi bhi,0
hi moms i want to know about ingredient of cerelac 1st stage pls in say in tamil  ,1
how to use red cow milk powder for 16 months old baby  ,1
